Site Name,URL,Contact Method,Email/Phone,Category,site type,Priority,Notes,Date Contacted
Family Court of WA - Legal Resources,https://www.familycourt.wa.gov.au/L/legal_resources.aspx,Contact form/email,registry@familycourt.wa.gov.au,Government - Court,.gov.au,HIGH,Has Legal Services Directory - perfect fit for calculator listing,
Victoria Legal Aid - Family Law Resources,https://www.legalaid.vic.gov.au/family-law-resources,Phone/Chat,1300 792 387,Government - Legal Aid,.gov.au,HIGH,Major legal aid provider with resource pages,
Victoria Legal Aid - LawHub Child Support,https://www.lawhub.vla.vic.gov.au/references-child-support,Phone/Chat,1300 792 387,Government - Legal Aid,.gov.au,HIGH,Specific child support resources page for practitioners,
Relationships Australia,https://relationships.org.au/what-we-do-old/useful-links/,Phone/Email,1300 364 277 / natoffice@relationships.org.au,Non-profit,.org.au,HIGH,National organization with useful links page,
Nicholes Family Lawyers - Resources,https://nicholeslaw.com.au/links/,Contact form,Via website contact form,Private Practice,.com.au,MEDIUM,Family law firm with public resources page,
Sage Family Lawyers - Useful Websites,https://sagefamilylawyers.com.au/useful-websites/,Contact form,Via website contact form,Private Practice,.com.au,MEDIUM,Family law firm with useful websites page,
Toomey Family Law - Resources,https://www.toomeyfamilylaw.com.au/resources/for-clients/,Contact form,Via website contact form,Private Practice,.com.au,MEDIUM,Family law firm with client resources,
Accessible Family Law - Resources,https://accessiblefamilylaw.com.au/resources,Phone/Email,(03) 7002 6222,Private Practice,.com.au,MEDIUM,Family law firm with resources page,
Umbrella Family Law - Resources,https://umbrellafamilylaw.com.au/resources/,Contact form,Via website contact form,Private Practice,.com.au,MEDIUM,Family law firm with helpful resources section,
The Separation Guide - Resources,https://theseparationguide.com.au/helpful-resources/pool-of-assets-calculator/,Contact form,Via website contact form,Information Site,.com.au,MEDIUM,Already has calculators - good fit,
Community Legal Centres NSW,https://www.clcnsw.org.au/resources-relationships,Contact form,Via website contact form,Community Legal,.org.au,HIGH,CLC network with family resources,
Federation of Community Legal Centres VIC,https://www.fclc.org.au/,Contact form,Via website contact form,Community Legal,.org.au,HIGH,Victorian CLC network,
Caxton Legal Centre QLD,https://caxton.org.au/,Phone,(07) 3214 6333,Community Legal,.org.au,HIGH,Queensland community legal centre,
Legal Services Commission SA,https://lsc.sa.gov.au/cb_pages/family_law.php,Contact form,Via website contact form,Government - Legal Aid,.gov.au,HIGH,South Australia legal aid,
University of Queensland - Family Law Guide,https://guides.library.uq.edu.au/subject/legal-research-guide/family-law,Email,library@uq.edu.au,University,.edu.au,MEDIUM,Academic library guide with resources,
University of Sunshine Coast - Family Law Guide,https://libguides.usc.edu.au/c.php?g=508803&p=3479170,Email,library@usc.edu.au,University,.edu.au,MEDIUM,Academic library guide,
Charles Sturt University - Family Law Guide,https://libguides.csu.edu.au/law/area-of-law/family,Email,library@csu.edu.au,University,.edu.au,MEDIUM,Academic library guide,
University of Notre Dame - Family Law,https://library.nd.edu.au/law/topics_a/family,Email,library@nd.edu.au,University,.edu.au,MEDIUM,Academic library guide,
National Debt Helpline - Child Support,https://ndh.org.au/debt-solutions/child-support/,Phone,1800 007 007,Non-profit,.org.au,MEDIUM,Financial counselling with child support info,
Family Connect and Support NSW,https://www.familyconnectsupport.dcj.nsw.gov.au/,Contact form,Via website contact form,Government - Support,.gov.au,MEDIUM,NSW government family support resources,
myGov - Child Support,https://my.gov.au/en/services/raising-kids/separated-parents/managing-finances-when-youre-separating/child-support,Contact form,Via Services Australia,Government,.gov.au,LOW,Government portal - unlikely to add external links,
DSS Child Support Guide,https://guides.dss.gov.au/child-support-guide,Contact form,Via DSS website,Government,.gov.au,LOW,Official guide - unlikely to link externally,
Law Council - Family Law Section,https://www.familylawsection.org.au/need-legal-assistance,Contact form,Via website contact form,Professional Body,.org.au,HIGH,Peak body for family lawyers - 2500+ members,
Australian Institute of Family Studies,https://aifs.gov.au/,Email,aifs@aifs.gov.au,Government Research,.gov.au,MEDIUM,Research institute - may have resources section,
Community Legal Centres Australia,https://clcs.org.au/,Email,admin@clcs.org.au,Peak Body,.org.au,HIGH,National peak body for CLCs,
Legal Aid WA - Community Legal Education,https://www.legalaid.wa.gov.au/about-us/what-we-do/community-legal-education,Contact form,Via website contact form,Government - Legal Aid,.gov.au,HIGH,WA legal aid with CLE resources,
Legal Aid QLD,https://www.legalaid.qld.gov.au/Home,Phone/Chat,1300 65 11 88,Government - Legal Aid,.gov.au,HIGH,Queensland legal aid,
Legal Aid NSW,https://www.legalaid.nsw.gov.au/,Phone/Chat,1300 888 529,Government - Legal Aid,.gov.au,HIGH,NSW legal aid with resources,
LawAccess NSW,https://www.lawaccess.nsw.gov.au/,Phone,1300 888 529,Government - Legal Aid,.gov.au,HIGH,NSW legal information service
